City,City_ascii,State_id,State_name,County_name,Lat,Long,Population,Density,Timezone,Ranking,Id
New York,New York,NY,New York,New York,40.6943,-73.9249,18713220,10715,America/New_York,1,1840034016
Los Angeles,Los Angeles,CA,California,Los Angeles,34.1139,-118.4068,12750807,3276,America/Los_Angeles,1,1840020491
Chicago,Chicago,IL,Illinois,Cook,41.8373,-87.6862,8604203,4574,America/Chicago,1,1840000494
Miami,Miami,FL,Florida,Miami-Dade,25.7839,-80.2102,6445545,5019,America/New_York,1,1840015149
Dallas,Dallas,TX,Texas,Dallas,32.7936,-96.7662,5743938,1526,America/Chicago,1,1840019440
Philadelphia,Philadelphia,PA,Pennsylvania,Philadelphia,40.0077,-75.1339,5649300,4554,America/New_York,1,1840000673
Houston,Houston,TX,Texas,Harris,29.7863,-95.3889,5464251,1399,America/Chicago,1,1840020925
Atlanta,Atlanta,GA,Georgia,Fulton,33.7627,-84.4224,5449398,1441,America/New_York,1,1840013660
Washington,Washington,DC,District of Columbia,District of Columbia,38.9047,-77.0163,5379184,4457,America/New_York,1,1840006060
Boston,Boston,MA,Massachusetts,Suffolk,42.3188,-71.0846,4688346,5532,America/New_York,1,1840000455
Phoenix,Phoenix,AZ,Arizona,Maricopa,33.5722,-112.0891,4219697,1253,America/Phoenix,1,1840020568
Seattle,Seattle,WA,Washington,King,47.6211,-122.3244,3789215,3469,America/Los_Angeles,1,1840021117
San Francisco,San Francisco,CA,California,San Francisco,37.7562,-122.4430,3592294,7256,America/Los_Angeles,1,1840021543
Detroit,Detroit,MI,Michigan,Wayne,42.3834,-83.1024,3506126,1864,America/Detroit,1,1840003971
San Diego,San Diego,CA,California,San Diego,32.8312,-117.1225,3220118,1686,America/Los_Angeles,1,1840021990
Minneapolis,Minneapolis,MN,Minnesota,Hennepin,44.9635,-93.2678,2977172,3071,America/Chicago,1,1840007830
Tampa,Tampa,FL,Florida,Hillsborough,27.9942,-82.4451,2908063,1353,America/New_York,1,1840015982
Denver,Denver,CO,Colorado,Denver,39.7621,-104.8759,2876625,1831,America/Denver,1,1840018789
Brooklyn,Brooklyn,NY,New York,Kings,40.6501,-73.9496,2559903,14221,America/New_York,1,1840034030
Queens,Queens,NY,New York,Queens,40.7498,-73.7976,2230722,7885,America/New_York,1,1840034002
Riverside,Riverside,CA,California,Riverside,33.9381,-117.3948,2107852,1574,America/Los_Angeles,1,1840020551
Baltimore,Baltimore,MD,Maryland,Baltimore,39.3051,-76.6144,2106068,2830,America/New_York,1,1840001592
Las Vegas,Las Vegas,NV,Nevada,Clark,36.2333,-115.2654,2104198,1773,America/Los_Angeles,1,1840020364
Portland,Portland,OR,Oregon,Multnomah,45.5372,-122.6500,2074775,1894,America/Los_Angeles,1,1840019941
San Antonio,San Antonio,TX,Texas,Bexar,29.4658,-98.5253,2049293,1231,America/Chicago,1,1840022220
St. Louis,St. Louis,MO,Missouri,St. Louis,38.6358,-90.2451,2024074,1879,America/Chicago,1,1840001651
Sacramento,Sacramento,CA,California,Sacramento,38.5667,-121.4683,1898019,2029,America/Los_Angeles,1,1840021491
Orlando,Orlando,FL,Florida,Orange,28.4772,-81.3369,1822394,1003,America/New_York,1,1840015099
San Jose,San Jose,CA,California,Santa Clara,37.3019,-121.8486,1798103,2218,America/Los_Angeles,1,1840021570
Cleveland,Cleveland,OH,Ohio,Cuyahoga,41.4767,-81.6804,1710093,1893,America/New_York,1,1840000596
Pittsburgh,Pittsburgh,PA,Pennsylvania,Allegheny,40.4396,-79.9762,1703266,2093,America/New_York,1,1840001254
Austin,Austin,TX,Texas,Travis,30.3004,-97.7522,1687311,1181,America/Chicago,1,1840019590
Cincinnati,Cincinnati,OH,Ohio,Hamilton,39.1413,-84.5061,1662691,1507,America/New_York,1,1840003814
Kansas City,Kansas City,MO,Missouri,Jackson,39.1239,-94.5541,1636715,607,America/Chicago,1,1840008535
Manhattan,Manhattan,NY,New York,New York,40.7834,-73.9662,1628706,27545,America/New_York,1,1840034000
Indianapolis,Indianapolis,IN,Indiana,Marion,39.7771,-86.1458,1588961,935,America/Indiana/Indianapolis,1,1840030084
Columbus,Columbus,OH,Ohio,Franklin,39.9862,-82.9850,1562009,1582,America/New_York,1,1840003760
Charlotte,Charlotte,NC,North Carolina,Mecklenburg,35.2080,-80.8304,1512923,1113,America/New_York,1,1840014557
Virginia Beach,Virginia Beach,VA,Virginia,Virginia Beach,36.7335,-76.0435,1478868,709,America/New_York,1,1840003871
Bronx,Bronx,NY,New York,Bronx,40.8501,-73.8662,1418207,12862,America/New_York,1,1840033999
Milwaukee,Milwaukee,WI,Wisconsin,Milwaukee,43.0642,-87.9673,1365787,2369,America/Chicago,1,1840003046
Providence,Providence,RI,Rhode Island,Providence,41.8230,-71.4187,1203230,3773,America/New_York,1,1840003289
Jacksonville,Jacksonville,FL,Florida,Duval,30.3322,-81.6749,1181496,470,America/New_York,1,1840015031
Salt Lake City,Salt Lake City,UT,Utah,Salt Lake,40.7777,-111.9306,1098526,699,America/Denver,1,1840021383
Nashville,Nashville,TN,Tennessee,Davidson,36.1715,-86.7843,1081903,544,America/Chicago,1,1840036155
Richmond,Richmond,VA,Virginia,Richmond,37.5295,-77.4756,1075798,1484,America/New_York,1,1840001698
Memphis,Memphis,TN,Tennessee,Shelby,35.1046,-89.9773,1066967,792,America/Chicago,1,1840015457
Raleigh,Raleigh,NC,North Carolina,Wake,35.8325,-78.6435,1038738,1254,America/New_York,1,1840014497
New Orleans,New Orleans,LA,Louisiana,Orleans,30.0687,-89.9288,1020886,889,America/Chicago,1,1840001839
Louisville,Louisville,KY,Kentucky,Jefferson,38.1663,-85.6485,1005654,905,America/New_York,1,1840030815
Oklahoma City,Oklahoma City,OK,Oklahoma,Oklahoma,35.4676,-97.5136,972943,417,America/Chicago,2,1840020428
Bridgeport,Bridgeport,CT,Connecticut,Fairfield,41.1918,-73.1953,924449,3470,America/New_York,2,1840004836
Buffalo,Buffalo,NY,New York,Erie,42.9016,-78.8487,914341,2441,America/New_York,2,1840000386
Fort Worth,Fort Worth,TX,Texas,Tarrant,32.7811,-97.3473,909585,1016,America/Chicago,2,1840020696
Hartford,Hartford,CT,Connecticut,Hartford,41.7661,-72.6834,905152,2712,America/New_York,2,1840004773
Tucson,Tucson,AZ,Arizona,Pima,32.1545,-110.8782,888486,889,America/Phoenix,2,1840022101
Omaha,Omaha,NE,Nebraska,Douglas,41.2627,-96.0522,847819,1309,America/Chicago,2,1840009315
El Paso,El Paso,TX,Texas,El Paso,31.8479,-106.4309,843386,1022,America/Denver,2,1840023252
Honolulu,Honolulu,HI,Hawaii,Honolulu,21.3294,-157.8460,820987,2200,Pacific/Honolulu,2,1840013305
McAllen,McAllen,TX,Texas,Hidalgo,26.2273,-98.2471,804114,841,America/Chicago,2,1840021024
Albuquerque,Albuquerque,NM,New Mexico,Bernalillo,35.1053,-106.6464,761195,1155,America/Denver,2,1840019176
Birmingham,Birmingham,AL,Alabama,Jefferson,33.5277,-86.7987,739573,553,America/Chicago,2,1840006507
Sarasota,Sarasota,FL,Florida,Sarasota,27.3386,-82.5431,722243,1528,America/New_York,2,1840015988
Dayton,Dayton,OH,Ohio,Montgomery,39.7797,-84.1998,718353,978,America/New_York,2,1840034249
Rochester,Rochester,NY,New York,Monroe,43.1680,-77.6162,703952,2220,America/New_York,2,1840000373
Fresno,Fresno,CA,California,Fresno,36.7831,-119.7941,703498,1789,America/Los_Angeles,2,1840020319
Allentown,Allentown,PA,Pennsylvania,Lehigh,40.5961,-75.4756,683794,2672,America/New_York,2,1840001044
Tulsa,Tulsa,OK,Oklahoma,Tulsa,36.1284,-95.9042,671033,784,America/Chicago,2,1840021672
Cape Coral,Cape Coral,FL,Florida,Lee,26.6446,-81.9956,668382,708,America/New_York,2,1840015130
Concord,Concord,CA,California,Contra Costa,37.9722,-122.0016,652308,1633,America/Los_Angeles,2,1840018905
Colorado Springs,Colorado Springs,CO,Colorado,El Paso,38.8674,-104.7606,642413,946,America/Denver,2,1840018825
Charleston,Charleston,SC,South Carolina,Charleston,32.8153,-79.9628,628377,480,America/New_York,2,1840015163
Springfield,Springfield,MA,Massachusetts,Hampden,42.1155,-72.5395,623401,1860,America/New_York,2,1840000466
Grand Rapids,Grand Rapids,MI,Michigan,Kent,42.9620,-85.6562,609314,1734,America/Detroit,2,1840002928
Mission Viejo,Mission Viejo,CA,California,Orange,33.6095,-117.6550,590249,2058,America/Los_Angeles,2,1840020580
Albany,Albany,NY,New York,Albany,42.6664,-73.7987,586383,1740,America/New_York,2,1840000417
Knoxville,Knoxville,TN,Tennessee,Knox,35.9692,-83.9496,586048,733,America/New_York,2,1840014486
Bakersfield,Bakersfield,CA,California,Kern,35.3529,-119.0359,579295,990,America/Los_Angeles,2,1840019148
Ogden,Ogden,UT,Utah,Weber,41.2278,-111.9682,578523,1230,America/Denver,2,1840020135
Baton Rouge,Baton Rouge,LA,Louisiana,East Baton Rouge,30.4418,-91.1310,570308,983,America/Chicago,2,1840013941
Akron,Akron,OH,Ohio,Summit,41.0798,-81.5219,565208,1231,America/New_York,2,1840000791
New Haven,New Haven,CT,Connecticut,New Haven,41.3112,-72.9246,564830,2690,America/New_York,2,1840004850
Columbia,Columbia,SC,South Carolina,Richland,34.0376,-80.9037,560041,373,America/New_York,2,1840014730
Mesa,Mesa,AZ,Arizona,Maricopa,33.4017,-111.7180,518012,1448,America/Phoenix,2,1840020566
Palm Bay,Palm Bay,FL,Florida,Brevard,27.9550,-80.6627,507002,456,America/New_York,2,1840015094
Provo,Provo,UT,Utah,Utah,40.2457,-111.6457,500617,1080,America/Denver,2,1840020174
Worcester,Worcester,MA,Massachusetts,Worcester,42.2705,-71.8079,498328,1916,America/New_York,2,1840000434
Murrieta,Murrieta,CA,California,Riverside,33.5720,-117.1909,496046,1335,America/Los_Angeles,2,1840020553
Greenville,Greenville,SC,South Carolina,Greenville,34.8353,-82.3647,484465,920,America/New_York,2,1840013501
Wichita,Wichita,KS,Kansas,Sedgwick,37.6896,-97.3442,482249,931,America/Chicago,2,1840001686
Toledo,Toledo,OH,Ohio,Lucas,41.6639,-83.5822,482111,1308,America/New_York,2,1840000572
Staten Island,Staten Island,NY,New York,Richmond,40.5834,-74.1496,476143,3156,America/New_York,2,1840034032
Des Moines,Des Moines,IA,Iowa,Polk,41.5725,-93.6105,473957,938,America/Chicago,2,1840007069
Long Beach,Long Beach,CA,California,Los Angeles,33.7981,-118.1675,462628,3523,America/Los_Angeles,2,1840020490
